pet     pˈatəh
pˈətus  pˈathəs
pˈitʔes pithˈiʔes
pˈatθəh pathˈathəh
pˈatsaz pathˈasaz
pˈetz   pathˈasən
pˈatsəh pathˈasəh
pˈatkəs pathˈakəs
pˈatək  pethˈek
pˈatkəh pathˈakəh

pak     pˈakəh
pˈokus  pˈakhəs
pˈekʔes pekhˈiʔes
pˈakθəh pakhˈathəh
pˈaksaz pakhˈasaz
pˈakz   pakhˈasən
pˈaksəh pakhˈasəh
pˈakkəs pakhˈakəs
pˈakək  pakhˈek
pˈakkəh pakhˈakəh

mbak     mbˈakəh
mbˈokus  mbˈakhəs
mbˈekʔes mbekhˈiʔes
mbˈakθəh mbakhˈathəh
mbˈaksaz mbakhˈasaz
mbˈakz   mbakhˈasən
mbˈaksəh mbakhˈasəh
mbˈakkəs mbakhˈakəs
mbˈakək  mbakhˈek
mbˈakkəh mbakhˈakəh

mbet     mbˈatəh
mbˈətus  mbˈathəs
mbˈitʔes mbithˈiʔes
mbˈatθəh mbathˈathəh
mbˈatsaz mbathˈasaz
mbˈetz   mbathˈasən
mbˈatsəh mbathˈasəh
mbˈatkəs mbathˈakəs
mbˈatək  mbethˈek
mbˈatkəh mbathˈakəh

mbu      mbˈawəh
mbus     mbˈohəs
mbˈiʔes  mbhˈiʔes
mbˈothəh mbhˈathəh
mbˈosaz  mbhˈasaz
mbˈosən  mbhˈasən
mbˈosəh  mbhˈasəh
mbˈokəs  mbhˈakəs
mbˈawək  mbhˈek
mbˈokəh  mbhˈakəh

tan      tˈanəh
tˈonus   tˈanhəs
tˈenʔes  tenhˈiʔes
tˈannhəh tanhˈathəh
tˈansaz  tanhˈasaz
tˈazən   tanhˈasən
tˈansəh  tanhˈasəh
tˈaŋkəs  tanhˈakəs
tˈaŋək   tanhˈek
tˈaŋkəh  tanhˈakəh

tek     tˈakəh
tˈəkus  tˈakhəs
tˈikʔes tikhˈiʔes
tˈakθəh takhˈathəh
tˈaksaz takhˈasaz
tˈekz   takhˈasən
tˈaksəh takhˈasəh
tˈakkəs takhˈakəs
tˈakək  tekhˈek
tˈakkəh takhˈakəh

tə      tˈawəh
tˈəwus  tˈahəs
tˈiʔes  thˈiʔes
tˈathəh thˈathəh
tˈasaz  thˈasaz
tˈasən  thˈasən
tˈasəh  thˈasəh
tˈakəs  thˈakəs
tˈawək  thˈek
tˈakəh  thˈakəh

nən      nnˈeh
nnəs     nnˈahəs
nnˈiʔes  nnhˈiʔes
nnˈathəh nnhˈathəh
nnˈasaz  nnhˈasaz
nnˈasən  nnhˈasən
nnˈasəh  nnhˈasəh
nnˈakəs  nnhˈakəs
nnˈek    nnhˈek
nnˈakəh  nnhˈakəh

to      tˈarəh
tˈulus  tˈahəs
tˈeʔes  thˈiʔes
tˈathəh thˈathəh
tˈasaz  thˈasaz
tˈasən  thˈasən
tˈasəh  thˈasəh
tˈakəs  thˈakəs
tˈarək  thˈek
tˈakəh  thˈakəh

nən      nnˈah
nnos     nnˈahəs
nnˈeʔes  nnhˈiʔes
nnˈathəh nnhˈathəh
nnˈasaz  nnhˈasaz
nnˈasən  nnhˈasən
nnˈasəh  nnhˈasəh
nnˈakəs  nnhˈakəs
nnˈak    nnhˈek
nnˈakəh  nnhˈakəh

nəd      ndˈṙh
ndˈṙwəs  ndˈṙhəs
ndˈṙʔes  ndhˈiʔes
ndˈṙthəh ndhˈathəh
ndˈṙsaz  ndhˈasaz
ndˈṙsən  ndhˈasən
ndˈṙsəh  ndhˈasəh
ndˈṙkəs  ndhˈakəs
ndˈṙk    ndhˈek
ndˈṙkəh  ndhˈakəh

kaθ     kˈaθəh
kˈostus kˈaθhəs
kˈeθʔes keθhˈiʔes
kˈaθθəh kaθhˈathəh
kˈaθsaz kaθhˈasaz
kˈaθz   kaθhˈasən
kˈaθsəh kaθhˈasəh
kˈaθkəs kaθhˈakəs
kˈaθək  kaθhˈek
kˈaθkəh kaθhˈakəh

xe      xˈarəh
xˈəlus  xˈahəs
xˈiʔes  xhˈiʔes
xˈathəh xhˈathəh
xˈasaz  xhˈasaz
xˈasən  xhˈasən
xˈasəh  xhˈasəh
xˈakəs  xhˈakəs
xˈarək  xhˈek
xˈakəh  xhˈakəh

ku      kˈawəh
kˈuwus  kˈohəs
kˈiʔes  khˈiʔes
kˈothəh khˈathəh
kˈosaz  khˈasaz
kˈosən  khˈasən
kˈosəh  khˈasəh
kˈokəs  khˈakəs
kˈawək  khˈek
kˈokəh  khˈakəh

ŋges     ŋgˈasəh
ŋgˈəsus  ŋgˈashəs
ŋgˈisʔes ŋgishˈiʔes
ŋgˈaθhəh ŋgashˈathəh
ŋgˈassaz ŋgashˈasaz
ŋgˈasən  ŋgashˈasən
ŋgˈassəh ŋgashˈasəh
